city,ANotMinority,BNotMinority,CMinority,DMinority,AMUI,BMUI,CLMI,DLMI,BID,B/xPy,HID,H/xPy,GINI,Region,PCTMIN,PCTLMI
Binghampton Ny,100%,100%,0%,0%,96%,57%,33%,100%,0.39,0.76,0.33,0.77,0.5,1,0%,93%
Trenton,33%,45%,47%,100%,58%,53%,55%,100%,0.61,0.25,0.59,0.29,0.49,1,96%,94%
Buffalo,97%,79%,49%,52%,92%,52%,82%,95%,0.69,0.29,0.52,0.53,0.46,1,42%,85%
Stamford,69%,72%,82%,100%,69%,67%,95%,94%,0.59,0.39,0.53,0.42,0.52,1,97%,84%
Rochester,99%,68%,44%,92%,99%,72%,57%,93%,0.66,0.31,0.58,0.37,0.49,1,90%,80%
East Hartford,99%,35%,87%,88%,93%,28%,85%,90%,0.63,0.24,0.58,0.31,0.46,1,84%,71%
Albany,99%,88%,18%,47%,99%,71%,41%,89%,0.56,0.5,0.4,0.62,0.43,1,39%,70%
Holyoke,100%,82%,7%,10%,95%,24%,27%,87%,0.39,0.59,0.52,0.45,0.44,1,13%,68%
New Haven,75%,87%,50%,83%,100%,67%,49%,87%,0.61,0.31,0.55,0.35,0.52,1,78%,67%
Elmira,100%,100%,0%,0%,100%,73%,70%,77%,0.43,0.7,0.28,0.76,0.46,1,0%,46%
Syracuse,98%,81%,38%,46%,89%,59%,72%,77%,0.57,0.4,0.43,0.52,0.51,1,35%,45%
Boston City,93%,90%,56%,55%,0%,93%,54%,72%,0.68,0.23,0.57,0.34,0.54,1,46%,34%
Manchester,100%,100%,0%,0%,100%,57%,44%,71%,0.35,0.78,0.37,0.76,0.43,1,0%,33%
Atlantic City,99%,65%,46%,76%,100%,98%,48%,71%,0.75,0.19,0.63,0.28,0.55,1,67%,33%
Pittsburgh,100%,89%,26%,32%,100%,82%,58%,70%,0.64,0.43,0.27,0.73,0.53,1,22%,28%
Johnstown,0%,100%,0%,0%,0%,84%,47%,67%,0.57,0.77,0.29,0.85,0.45,1,0%,25%
Erie,100%,100%,15%,31%,100%,81%,43%,64%,0.57,0.59,0.43,0.66,0.45,1,19%,19%
Utica,100%,98%,14%,10%,90%,89%,39%,63%,0.57,0.56,0.51,0.6,0.48,1,12%,19%
Philadelphia,70%,64%,51%,69%,94%,80%,51%,61%,0.74,0.16,0.65,0.26,0.48,1,59%,18%
New Castle,100%,100%,10%,32%,100%,97%,39%,60%,0.54,0.74,0.25,0.87,0.47,1,19%,17%
New York_city,91%,56%,67%,69%,95%,71%,34%,53%,0.81,0.1,0.64,0.19,0.55,1,57%,11%
New York_msa,91%,78%,55%,68%,96%,88%,30%,52%,0.79,0.13,0.62,0.23,0.51,1,54%,10%
Boston Msa,99%,94%,14%,17%,99%,91%,31%,42%,0.63,0.36,0.57,0.44,0.48,1,13%,7%
Altoona,100%,100%,0%,0%,100%,92%,22%,35%,0.34,0.92,0.2,0.93,0.45,1,0%,4%
Hamilton,100%,100%,6%,56%,100%,33%,92%,100%,0.45,0,0.47,0,0.44,2,43%,93%
Warren,100%,100%,18%,90%,100%,88%,84%,100%,0.38,0.58,0.15,0.7,0.48,2,83%,94%
Kenosha,100%,100%,26%,36%,100%,59%,88%,99%,0.44,0.58,0.37,0.6,0.43,2,18%,93%
Canton,100%,91%,24%,80%,89%,46%,88%,100%,0.43,0.61,0.24,0.73,0.45,2,69%,95%
Lorain,0%,91%,50%,59%,0%,60%,94%,100%,0.4,0.46,0.39,0.47,0.45,2,47%,97%
Decatur,88%,83%,36%,50%,86%,25%,78%,98%,0.49,0.52,0.27,0.67,0.46,2,38%,93%
Wichita,57%,84%,30%,42%,57%,73%,72%,98%,0.54,0.37,0.36,0.47,0.46,2,30%,93%
Grand Rapids,100%,85%,12%,47%,100%,81%,44%,96%,0.5,0.48,0.49,0.48,0.46,2,34%,92%
Aurora,86%,41%,89%,96%,87%,42%,85%,96%,0.29,0.34,0.46,0.24,0.43,2,90%,91%
Grand Rapids,100%,85%,12%,47%,100%,81%,44%,96%,0.5,0.48,0.49,0.48,0.46,2,34%,92%
Aurora,86%,41%,89%,96%,87%,42%,85%,96%,0.29,0.34,0.46,0.24,0.43,2,90%,91%
Kansas City,100%,75%,53%,72%,100%,70%,75%,95%,0.67,0.24,0.56,0.4,0.46,2,57%,91%
Fort Wayne,100%,94%,35%,39%,100%,54%,86%,95%,0.57,0.37,0.4,0.49,0.45,2,26%,91%
Springfield Il,100%,98%,2%,46%,100%,48%,92%,94%,0.47,0.51,0.22,0.68,0.48,2,32%,90%
Cleveland,84%,70%,43%,85%,95%,81%,49%,93%,0.7,0.24,0.51,0.57,0.51,2,76%,90%
Gary,41%,52%,65%,72%,64%,45%,58%,93%,0.72,0.18,0.42,0.42,0.5,2,57%,88%
Toledo,87%,64%,35%,77%,92%,60%,62%,92%,0.61,0.39,0.34,0.66,0.46,2,64%,87%
Lima,100%,88%,13%,29%,90%,64%,62%,91%,0.38,0.63,0.24,0.71,0.46,2,20%,84%
Muskegon,100%,48%,75%,49%,100%,38%,75%,86%,0.65,0.36,0.36,0.58,0.47,2,33%,76%
Battle Creek,100%,90%,16%,26%,100%,61%,72%,86%,0.48,0.57,0.32,0.68,0.48,2,17%,75%
Akron,85%,80%,13%,53%,80%,53%,71%,85%,0.61,0.11,0.29,0.7,0.48,2,37%,74%
Detroit,60%,36%,48%,73%,79%,65%,57%,85%,0.78,0.17,0.52,0.48,0.51,2,54%,73%
Joliet,70%,66%,70%,81%,73%,54%,73%,85%,0.54,0,0.41,0,0.4,2,64%,71%
Rockford,100%,95%,29%,67%,100%,70%,71%,85%,0.50,0.44,0.37,0.52,0.48,2,48%,71%
Southbend,95%,81%,48%,64%,95%,63%,71%,83%,0.50,0.49,0.47,0.5,0.48,2,45%,70%
Indianapolis,93%,83%,41%,27%,96%,42%,48%,83%,0.57,0.35,0.41,0.5,0.48,2,19%,70%
Youngstown,70%,62%,35%,61%,83%,55%,68%,83%,0.67,0.39,0.49,0.53,0.48,2,44%,68%
Dayton,86%,47%,32%,57%,86%,25%,81%,82%,0.73,0.26,0.3,0.7,0.49,2,41%,67%
Columbus,91%,73%,40%,47%,89%,54%,68%,82%,0.63,0.34,0.41,0.56,0.45,2,32%,67%
Terre Haute,100%,100%,0%,0%,99%,70%,60%,81%,0.39,0.76,0.31,0.78,0.46,2,0%,66%
Pontiac,1%,57%,84%,79%,1%,57%,97%,79%,0.58,0.27,0.5,0.38,0.47,2,59%,62%
Flint,100%,36%,52%,38%,100%,31%,78%,75%,0.63,0.28,0.25,0.62,0.49,2,21%,54%
Minneapolis,97%,82%,50%,53%,96%,63%,83%,73%,0.53,0.44,0.49,0.48,0.51,2,36%,46%
Milwaukee,88%,77%,47%,53%,88%,75%,56%,72%,0.79,0.19,0.58,0.4,0.47,2,35%,45%
Portsmouth,100%,100%,0%,0%,100%,86%,73%,70%,0.56,0.84,0.25,0.91,0.48,2,0%,37%
