GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
201706140029,2017-06-14,"United States","Alexandria","Anti-Republican extremists",0,,,,,1,6,Government (General),,,North America,Assassination,,,Firearms,Firearms,,
201612150044,2016-12-15,"United States","Dallas","Anti-Semitic extremists",0,,,,,0,1,Journalists & Media,,,North America,Assassination,,,Other,,,
201606180037,2016-06-18,"United States","Las Vegas","Anti-Trump extremists",0,,,,,0,0,Private Citizens & Property,,,North America,Assassination,,,Firearms,,,
199710280007,1997-10-28,"United States","Fairport","Army of God",1,,,,,0,0,Abortion Related,,,North America,Assassination,,,Firearms,,,
199704080004,1997-04-08,"United States","Urbana","Unknown",0,,,,,0,0,Government (General),,,North America,Assassination,,,Incendiary,Incendiary,,
199612180007,1996-12-18,"United States","New Orleans","Anti-Abortion extremists",0,,,,,0,1,Abortion Related,,,North America,Assassination,,,Melee,,,
199601010011,1996-01-01,"United States","Opelika","Unknown",0,,,,,0,1,Religious Figures/Institutions,,,North America,Assassination,,,Explosives/Bombs/Dynamite,,,
199512070004,1995-12-07,"United States","Fayetteville","Unknown",0,,,,,0,0,Unknown,,,North America,Assassination,,,Firearms,,,
199501280012,1995-01-28,"United States","Huntington","Unknown",0,,,,,0,0,Abortion Related,,,North America,Assassination,,,Firearms,,,
199410290011,1994-10-29,"United States","Washington","Unknown",0,,,,,0,0,Government (General),,,North America,Assassination,,,Firearms,,,
199407290003,1994-07-29,"United States","Pensacola","Anti-Abortion extremists",0,,,,,2,1,Abortion Related,,,North America,Assassination,,,Firearms,,,
199407190005,1994-07-19,"United States","Jackson","Unknown",0,,,,,0,0,Journalists & Media,,,North America,Assassination,,,Explosives/Bombs/Dynamite,,,
199405290008,1994-05-29,"United States","Riverside","Unknown",0,,,,,0,3,Religious Figures/Institutions,,,North America,Assassination,,,Firearms,,,
199405290004,1994-05-29,"United States","New York City","Unknown",0,,,,,1,0,Business,,,North America,Assassination,,,Firearms,,,
199405180004,1994-05-18,"United States","New York City","Unknown",0,,,,,0,0,Journalists & Media,,,North America,Assassination,,,Explosives/Bombs/Dynamite,,,
199404050008,1994-04-05,"United States","New York City","Unknown",0,,,,,0,1,Private Citizens & Property,,,North America,Assassination,,,Explosives/Bombs/Dynamite,,,
199403090005,1994-03-09,"United States","Miami","Unknown",0,,,,,1,0,Private Citizens & Property,,,North America,Assassination,,,Firearms,,,
199212110017,1992-12-11,"United States","San Diego","Unknown",0,,,,,0,0,Police,,,North America,Assassination,,,Firearms,,,
199208290001,1992-08-29,"United States","San Juan","Unknown",0,,,,,0,0,Government (General),,,North America,Assassination,,,Melee,,,
199203110023,1992-03-11,"United States","New York City","Medellin Drug Cartel",1,"Cali Narcotics Cartel",1,,,1,0,Journalists & Media,,,North America,Assassination,,,Firearms,,,
199202180023,1992-02-18,"United States","Boston","Unknown",0,,,,,1,0,Educational Institution,,,North America,Assassination,,,Firearms,,,
199201140017,1992-01-14,"United States","Houston","Anti-Abortion extremists",0,,,,,0,1,Abortion Related,,,North America,Assassination,,,Firearms,,,
199103150023,1991-03-15,"United States","Miami","Tontons Macoutes",0,,,,,1,0,Journalists & Media,,,North America,Assassination,,,Firearms,,,
199102180013,1991-02-18,"United States","Miami","Tontons Macoutes",0,,,,,1,0,Journalists & Media,,,North America,Assassination,,,Firearms,,,
199011050006,1990-11-05,"United States","New York City","Muslim extremists",0,,,,,1,0,Terrorists/Non-state Militia,,,North America,Assassination,,,Firearms,,,
199009220011,1990-09-22,"United States","Bailey's Crossroads","Unknown",0,,,,,2,0,Journalists & Media,,,North America,Assassination,,,Firearms,,,
199002080006,1990-02-08,"United States","Knoxville","Unknown",0,,,,,1,0,Educational Institution,,,North America,Assassination,,,Firearms,,,
199001300018,1990-01-30,"United States","Tucson","Jamaat-al-Fuqra",1,,,,,1,0,Religious Figures/Institutions,,,North America,Assassination,,,Melee,,,
198912220013,1989-12-22,"United States","Hagerstown","Unknown",0,,,,,0,1,Government (General),,,North America,Assassination,,,Explosives/Bombs/Dynamite,,,
198912180006,1989-12-18,"United States","Savannah","Americans for a Competent Federal Judicial System",0,,,,,1,0,Business,,,North America,Assassination,,,Explosives/Bombs/Dynamite,,,
198911220013,1989-11-22,"United States","Seven Corners","Unknown",0,,,,,1,0,Journalists & Media,,,North America,Assassination,,,Firearms,,,
198908200012,1989-08-20,"United States","Fresno","Unknown",0,,,,,0,1,Private Citizens & Property,,,North America,Assassination,,,Firearms,,,
