V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22
1,7,11,57,2,2,2,1,1,30, , ,0,0,"ZAHIR SHAH,KING", ,7,12,57,",",18,.1
1,11,24,59,2,1,2,1,1,22, , ,0,1,"NAIM,MIN", ,11,24,59,",",30,.6
2,10,24,49,1,1,2,1,4,27, , ,1,0,"BISBASH,DEPUTY",ANTI-COMMUNIST,10,24,49,",",9,.7
2,4,5,50,1,1,2,1,22,22, , ,1,0,"SHEHU M,DEP PREMIER","SHEHU A,UND SEC",4,5,50,",",2,.2
3,9,25,48,2,2,2,1,34,20, , ,0,0,"PERON,PRES", ,9,25,48,",",25,.1
3,2,25,50,2,1,2,1,1,25, , ,0,1,"MINSK H,RADICAL PTY", ,2,28,50,",",21,.1
3,3,29,51,2,2,2,1,1,20, , ,0,0,"PERON,PRES",REYES C,3,29,51,",",11,.3
3,4,27,52,2,2,2,1,1,20, , ,0,0,"PERON,PRES","USA,CHARGED",4,27,52,",",22,.1
3,0,0,53,2,1,2,1,1,20, , ,0,0,"PERON,PRES", , , , , , ,EB
3,5,5,53,2,2,2,1,1,22, , ,0,0,"REMORIN,MIN", ,5,5,53,",",5,.3
3,8,16,55,2,2,2,1,3,20, , ,0,0,"PERON,PRES","OLIVER RC,NTLST",8,16,55,",",1,.5
3,6,24,57,2,2,2,1,1,22, , ,0,0,"ROJAS,VICE-PRES", ,6,24,55,",",30,.7
3,8,13,64,2,1,2,1,1,21, , ,0,0,"FRONDIZI A,EX-PRES", , , , , , ,DD
4,3,13,60,2,1,2,1,1,28, , ,0,0,"CABRERA,MAJ",HOME BOMBED,3,13,60,",",4,.6
4,6,22,66,2,1,2,1,1,25, , ,0,1,"CALWELL,OPP LAB PTY LDR",KOCAN PR,6,22,66,",",5,.2
5,6,5,62,1,1,2,1,1,29, , ,1,0,"LAPUSNYIK,SEC POL CHF", ,6,5,62,",",1,.2
6,8,19,50,1,1,2,1,1,5, , ,1,0,"LAHAUT L,COMM PTY CHRMN",GUNMEN,8,19,50,",",1,.6
7,4,19,55,2,2,2,1,1,20, , ,0,0,"PAZ ESTENSSORO,PRES", ,4,19,55,",",13,.2
7,5,3,56,1,1,2,1,1,39, , ,1,0,"ROCA H,GUAYARAMERIA",POLIT OPP,5,4,56,",",6,.8
7,1,25,58,2,2,2,1,1,20, , ,0,0,"SUAZO SILES,PRES", ,1,25,58,",",5,.6
7,12,26,60,2,1,2,1,1,34, , ,0,0,"STROM,AMB, %US<",HOME BOMBED,12,26,60,",",2,.4
7,2,26,64,2,1,2,1,1,28, , ,0,0,"ORTUNO B,GEN",SHOT,2,26,64,",",2,.5
7,8,16,64,2,1,2,1,1,24, , ,0,0,"BARRIENTOS,VP",CAR BOMBED,8,16,64,",",64,.4
7,9,6,64,2,1,2,1,1,24, , ,0,0,"BARRIENTOS,VP",HOUSE BOMBED,9,22,64,",",6,.1
7,3,23,65,2,1,2,1,1,23, , ,0,0,"BARRIENTOS,GEN", ,3,23,65,",",10,.4
7,5,23,65,2,1,2,1,1,23, , ,0,0,"BARRIENTOS,GEN", ,5,23,65,",",4,.1
8,4,17,48,2,1,2,1,5,22, , ,0,0,"PEREIRA DE COSTA,MIN", ,4,17,48,",",5,.5
8,9,10,50,1,1,2,1,1,36, , ,1,0,"ARTIAGA G,STATE LEGIS", ,9,10,50,",",4,.1
8,8,6,54,2,1,2,1,1,44, , ,0,1,"LACERDA,ANTI-VARGUS ED", ,8,6,54,",",4,.3
8,6,27,56,2,2,2,1,1,20, , ,0,0,"KUBITSCHEK,PRES","ANARCHISTS,COMM",6,27,56,",",10,.1
8,2,14,57,1,1,2,1,1,27, , ,1,0,MARQUES DE SILVA J,GOV FALCO AVDES,2,14,57,",",11,.4
8,10,16,63,2,2,2,1,1,35, , ,0,0,"LACERDA,GOV",GOULART AIDES,10,15,63,",",15,.1
8,11,28,64,2,2,2,1,1,25, , ,0,0,LACERDA, ,9,11,64,",",28,.6
8,3,7,65,2,2,2,1,1,24, , ,0,0, GOVT LDRS, ,3,7,65,",",3,.1
8,3,9,65,2,2,2,1,1,28, , ,0,0,"ALVES BASTOS,GEN", ,3,9,65,",",23,.4
8,3,8,66,2,2,2,1,29,35, , ,0,0,"MENEGHETTI,GOV","BRIZOLA,EX-GOV",3,8,66,",",19,.8
8,7,25,66,2,1,2,1,5,23, , ,0,0,"COSTA DE SILVA,GEN",COMMUNISTS,7,26,66,",",14,.6
8,11,16,66,1,1,2,1,1,36, , ,1,0,"ROCHA J,OPP PTY", ,11,16,66,",",12,.2
10,4,11,48,1,1,2,1,5,31, , ,1,0,"TAW,PRINCE", ,4,11,48,",",22,.1
10,4,12,48,1,1,2,1,5,24, , ,9,0,SAN U AUNG AND GOVT LDRS, ,4,12,48,",",3,.1
10,8,30,48,1,1,2,1,5,27, , ,1,0,"THEIN SAW BA,EX-LEG",BOMB,10,31,48,",",75,.4
10,9,18,48,1,1,2,1,5,22, , ,1,0,"TUT U TIN,EX-FOR MIN",BOMB IN CAR,9,19,48,",",42,.1
10,9,2,49,1,1,1,1,2,24,84,200,1,0,"HLA SAO TIN,SAWBWA",KARENS,9,3,49,",",2,.5
11,1,14,50,1,1,2,1,1,25, , ,1,0,"IOE KOEUX,DEMO PTY LDR", ,1,16,50,",",6,.4
11,11,0,51,1,1,2,1,1,33, , ,1,0,"DE RAYMOND J,FR COMMISS",SERVANT, , , , , ,EB
11,9,1,59,2,1,2,1,1,30, , ,0,0,"SURAMARIT,KING", ,9,1,59,",",57,.1
11,9,1,59,2,1,2,1,1,30, , ,0,0,"NORODOM SURAMARIT,KING",BOMB,9,1,59,",",57,.1
11,2,14,60,2,2,2,1,1,20, , ,0,0,"SIHANOUK,PREM", ,2,14,60,",",12,.2
11,2,9,67,2,2,2,1,1,30, , ,0,0,"SIHANOUK N,PRINCE","CIA,CHARGED",2,19,67,",",25,.5
12,5,19,66,2,1,2,1,1,27, , ,0,0, MEM PARLIAMENT,CHARTIER PJ,5,19,66,",",6,.5
13,12,2,58,2,2,2,1,1,24, , ,0,0,"GOONETILEKE,GOV GEN", ,12,2,58,",",10,.5
13,9,26,59,1,1,2,1,50,20, , ,1,0,"BANDARANIKE,PM",BUDDIST MONK,9,26,59,",",1,.2
16,8,18,51,2,2,2,1,28,20, , ,0,0,MAO TSE TUNG,"BARRET,EXMIL AT",8,18,51,",",2,.5
16,1,12,58,2,1,2,1,1,22, , ,0,1,"CHOU EN LAI,PREMIER", ,1,31,58,",",2,.7
16,3,7,58,2,2,2,1,5,20, , ,0,0,"CHAING KAI SHEK,PRES",NIEH SHIH-MEN,3,7,58,",",5,.3
17,4,9,48,1,1,2,1,1,25, , ,1,0,"GAITAN J,LIB PTY LDR", , , , , , ,EB
17,4,10,48,1,1,2,1,25,24, , ,1,0,"GRITAN JE,SENATOR", ,4,10,48,",",1,.8
17,5,25,48,2,1,2,1,25,25, , ,0,4,RESTREPO BOTERO,GUNMAN,5,25,48,",",12,.6
17,6,22,48,1,1,2,1,25,25, , ,1,0,"HENAO BLANCO B,LIB LDR", ,6,22,48,",",19,.4
17,1,10,56,2,1,2,1,1,21, , ,0,0,"LLERAS CAMARGE,EX-PRES", ,1,10,56,",",5,.5
17,3,14,58,1,1,2,1,1,23, , ,1,0,ARBELAEZ CIFUENTES, ,3,4,58,",",8,.5
17,4,27,65,2,2,2,1,1,20, , ,0,0,"VALENCIA,PRES", ,4,27,65,",",22,.5
18,3,2,48,1,1,2,1,1,1, , ,1,0,"VALERDE,PTY SUPP", ,3,2,48,",",15,.3
18,5,14,56,2,2,2,1,1,20, , ,0,0,"FIGUERES S,PRES","BAKER AP,HOND",5,14,56,",",3,.4
19,7,17,48,1,1,2,1,1,29, , ,1,0,HERNANDEZ VEGA, ,7,17,48,",",5,.6
19,9,1,48,1,1,2,1,1,15, , ,1,0,"AREVALO Y VEITIA,LAB LDR", , , , , , ,EB
19,1,7,49,2,2,2,1,34,20, , ,0,0,"SOCARRAS P,PRES",DOM REP CHARGED,1,7,49,",",10,.3
19,4,5,49,1,1,2,1,1,41, , ,1,0,"FUENTES J,STUDENT LDR", ,4,5,49,",",14,.6
19,4,19,49,2,1,2,1,1,3, , ,0,1,"SALAZAR LF,REV LDR", ,4,20,49,",",3,.2
19,9,2,49,1,1,2,1,1,25, , ,1,0,"SALAZAR G,SOCIALIST LDR", ,9,2,49,",",7,.5
19,9,17,49,2,1,2,1,4,27, , ,0,0,"MASFERRER,REP", ,9,17,49,",",2,.6
19,9,27,50,1,1,2,1,1,24, , ,1,0,"PANIAGUA RT,TRES UND SEC", ,9,27,50,",",27,.2
19,2,13,52,1,1,2,1,1,22, , ,1,0,"PINO A,EX-MIN OF INT", ,2,13,52,",",35,.8
19,2,14,52,1,1,2,1,1,24, , ,1,0,"COSINO DEL PINO,XSEC INT", ,2,14,52,",",4,.4
19,11,12,52,1,1,2,1,1,44, , ,1,0,"GONZALES-REBULL,PUB", ,11,12,52,",",2,.2
19,1,27,55,2,2,2,1,41,20, , ,0,0,"BATISTA,PRES ELECT",STUDENTS,1,27,55,",",5,.6
19,10,7,56,2,2,2,1,2,20, , ,0,0,"BATISTA,PRES","SOCARRAS,EXPRES",10,7,56,",",6,.5
19,10,29,56,1,1,2,1,1,28, , ,1,0,"BLANCO RICO,CHF MIL INT", ,10,29,56,",",6,.3
19,1,15,57,2,1,2,1,1,29, , ,0,0,"PIEDRA,POLICE AIDE", ,1,15,57,",",12,.4
19,6,15,57,2,2,2,1,1,24, , ,0,0,"REY,MIN OF INT", ,6,15,57,",",3,.5
19,9,30,58,1,1,2,1,1,3, , ,1,0,VEGA A, ,9,30,58,",",8,.6
19,2,3,59,2,2,2,1,1,20, , ,0,0,CASTRO,"NYE,US LINKED",2,3,59,",",15,.1
19,2,3,59,2,2,2,1,28,20, , ,0,0,CASTRO,COBRAS,2,3,59,",",15,.1
19,3,27,59,2,2,2,1,1,20, , ,0,0,CASTRO, ,3,27,59,",",7,.6
19,3,29,59,2,2,2,1,1,20, , ,0,0,CASTRO,DE LA FE,3,29,59,",",32,.6
19,6,7,59,2,1,2,1,1,24, , ,0,0,"ECHAZABAL,AMB", ,6,7,59,",",1,.4
19,10,22,59,2,1,2,1,1,20, , ,0,0,"CASTRO F,PREMIER",KNIFE,10,23,59,",",1,.2
19,7,15,60,2,1,2,1,1,28, , ,0,0,"NOGUERIA,M,MAJ", ,7,15,60,",",2,.1
19,7,26,61,2,2,2,1,1,28, , ,0,0,CASTRO RAUL,"USA,CHARGED",8,9,61,",",1,.5
19,3,6,66,2,2,2,1,1,20, , ,0,0,"CASTRO F,PREMIER","ARTIME,CIA LNK",3,6,66,",",25,.1
19,8,7,67,2,2,2,1,1,20, , ,0,0,CASTRO F,CIA CHARGED,8,7,67,",",13,.1
19,10,14,67,2,2,2,1,1,20, , ,0,0,CASTRO F,"USA,CHARGED",10,14,67,",",1,.6
20,3,22,56,2,1,1,4,2,33,92,305,0,0,HARDING,SOPHOCLEOS N,3,22,56,",",1,.2
20,6,17,56,1,1,2,1,2,34, , ,1,0,"BOTELER,US VICE CONSUL", ,6,17,56,",",17,.1
20,11,7,56,1,1,1,4,2,33,92,305,1,0,"WILLIAMSON,AST DIST COMR", ,11,7,56,",",36,.8
20,8,13,61,2,2,2,1,34,34, , ,0,0,NASSER,ISR.AGENTS-CYP,8,16,61,",",4,.6
20,2,4,64,2,1,2,1,1,22, , ,0,0,"KYPRIANOU,MIN", ,2,4,64,",",5,.4
21,2,29,48,2,1,2,1,5,22, , ,0,1,"ORTINA,JUSTICE MIN", ,2,29,48,",",1,.1
21,12,10,48,2,1,2,1,28,20, , ,0,0,"GOTTWALD,PRES", ,12,10,48,",",20,.3
21,3,6,50,1,1,2,1,1,25, , ,1,0,"TAUSINGER,SLOVAK COM LDR", ,3,6,50,",",4,.5
21,2,9,52,2,2,2,1,1,20, , ,0,0,"GOTTWALD,PRES","RSIANSKY,GHUSAK",2,9,52,",",4,.6
21,1,22,54,2,1,2,1,1,20, , ,0,1,ZAPOTOCKY, ,1,22,54,",",7,.4
23,4,22,51,2,2,2,1,1,20, , ,0,0,"TRUJILLO,PRES", ,4,27,51,",",17,.1
23,10,4,52,1,1,2,1,1,4, , ,1,0,"REQUENA,REGIME FOE", ,10,4,52,",",3,.8
23,1,29,60,2,2,2,1,1,20, , ,0,0,"TRUJILLO,PRES", ,1,29,60,",",1,.5
23,6,1,61,1,1,2,1,28,20, , ,1,0,"TRUJILLO,PRES","DIAZ JT,GEN",6,1,61,",",1,.8
23,7,4,65,2,1,2,1,1,23, , ,0,0,BALAGUER,SHOTS INTO HOME,7,4,65,",",12,.3
23,10,17,65,1,1,2,1,5,25, , ,1,0,CABRAL ORTIZ AS, ,10,17,65,",",26,.6
23,12,20,65,2,1,2,1,1,20, , ,0,0,CAAMANO, ,12,20,65,",",1,.6
25,11,4,49,2,1,2,1,1,20, , ,0,0,PLAZA LASSO, ,11,4,49,",",6,.4
25,10,12,53,2,2,2,1,4,20, , ,0,0,VELASCO,OPP BOMB PLOT,10,12,53,",",5,.8
25,9,24,54,2,1,2,1,28,27, , ,0,1,"CANARTE BARBERO,DEPUTY","MONTUFAR,COL",9,24,54,",",6,.4
26,4,26,48,2,1,2,1,1,21, , ,0,0,"NAHAS PASHA,EX-PREMIER", ,4,26,48,",",1,.7
26,11,26,48,2,1,2,1,1,20, , ,0,0,"NOKRASHY PASHA,PREMIER", ,12,29,48,",",1,.4
26,12,29,48,1,1,1,1,4,20,110,200,1,0,"NOKRASHY PASHA,PREMIER","HASSAN,MOS BRO",12,29,48,",",1,.4
26,2,13,49,1,1,1,2,1,4,200,110,1,0,"BANA H EL,CHF MOSLEM BRO", ,2,13,49,",",1,.6
26,5,11,49,2,1,1,2,4,27,110,200,0,0,"GOUDA,DEP CHMBS PRES",MOSLEM BRO,5,6,49,",",11,.2
26,8,24,51,2,2,1,2,4,30,110,200,0,0,"FAROUK,KING",MOSLEM BRO,8,24,51,",",6,.2
26,10,27,54,2,1,1,1,4,20,110,200,0,0,"NASSER ABDUL,PREMIER","LATIF,MOSLEM BR",10,27,54,",",9,.1
26,10,31,54,2,2,1,1,4,25,110,200,0,0, REV COMMAND COUNCIL,"LATIF,MOSLEM BR",10,31,54,",",5,.1
26,11,26,61,2,2,2,1,34,20, , ,0,0,NASSER,"MATTEI,3 FR REP",11,27,61,",",8,.4
26,1,28,62,2,2,2,1,34,20, , ,0,0,NASSER,"BELLIVIER,FR",1,29,62,",",4,.5
26,3,23,63,2,1,2,1,1,42, , ,0,0,"KLEINWAECHTER,SCIENTIST",ISRAELI AGENTS,3,23,63,",",1,.4
26,9,27,65,2,2,1,2,2,20,110,200,0,0,NASSER,MOSLEM BRO,9,27,65,",",2,.1
26,10,5,65,2,2,1,2,2,24,110,200,0,0, GOVT OFFICIALS,MOSLEM BRO,10,5,65,",",4,.3
26,3,0,66,2,2,2,1,4,20,110,200,0,0,NASSER,RAMADAN S,7,19,66,",",8,.5
27,9,14,57,2,1,2,1,6,20, , ,0,0,"LEMUS,PRES",REFUGEE, , , , , ,EB
27,12,5,63,2,1,2,1,1,22, , ,0,0, FINANCE MIN, ,12,5,63,",",2,.4
28,7,27,51,2,2,2,1,22,30, , ,0,0,"HAILE SELASSIE,EMP",MIN OF STATE,7,27,51,",",8,.4
28,7,13,62,2,1,2,1,1,22, , ,0,0,"ABEYE ABEBE,MIN INT", , , , , , ,DD
30,1,21,49,2,1,2,1,1,24, , ,0,1,"RALIN-LABOUREUR,DEPUTY",MACHINE GUNNED,1,21,49,",",14,.3
30,5,26,57,1,1,1,1,2,3,3,3,1,0,"CHEKKAL ALI,PRO FRENCH",SADOK M BEN,5,27,57,",",1,.8
30,10,31,57,2,1,2,1,2,27, , ,0,0,"BORGEAUD H,ALGERIAN SEN",N AFR TERRORIST,11,1,57,",",5,.4
30,11,27,57,2,1,2,1,2,22, , ,0,0,"BARAKROK A, ALG SEC STAT",E,11,28,57,",",6,.5
30,9,10,61,2,1,2,1,2,20, , ,0,0,"DEGAULLE C,PRES",OAS,9,10,61,",",1,.5
30,11,4,61,2,2,2,1,4,20, , ,0,0,"DEGAULLE C,PRES",RT WING OPP,11,4,61,",",2,.8
30,5,22,62,2,2,2,1,2,20, , ,0,0,"DEGAULLE,PRES",OAS,5,22,62,",",9,.3
30,6,19,62,2,2,2,1,1,20, , ,0,0,"DEGAULLE,PRES",GUERTITOT,6,19,62,",",8,.3
30,8,23,62,2,1,2,1,2,20, , ,0,1,"DEGAULLE,PRES",OAS,8,23,62,",",1,.7
30,11,28,62,2,2,2,1,28,20, , ,0,0,"DEGAULLE,PRES","GRAS,EX-LT",11,28,62,",",2,.5
30,3,1,63,2,2,2,1,1,20, , ,0,0,"POMPIDOU,PREMIER",TERRORISTS,3,1,63,",",1,.4
30,8,29,64,2,1,2,1,1,20, , ,0,0,"DEGAULLE,PRES", ,8,29,64,",",18,.2
30,5,26,65,2,2,2,1,10,20, , ,0,0,"DEGAULLE,PRES", ,5,26,65,",",3,.1
30,2,25,66,2,2,2,1,1,22, , ,0,0,"MATANZIMA,CHF MIN", ,2,25,66,",",3,.7
31,11,12,55,2,1,2,1,1,20, , ,0,0,"NKRUMAH K,PM",BOMB HOME,11,12,55,",",3,.8
31,11,11,58,2,2,2,1,1,24, , ,0,0,"NKRUMAH K,INT MIN", ,11,11,58,",",8,.3
31,5,24,59,2,2,2,1,1,20, , ,0,0,"NKRUMAH,PRIME MIN", ,5,24,59,",",31,.1
31,5,30,61,2,2,2,1,1,20, , ,0,0,MAGA, ,5,30,61,",",5,.1
31,8,2,62,2,1,2,1,24,20, , ,0,0,NKRUMAH,"ADJEI,MIN",8,2,62,",",3,.6
31,1,3,64,2,1,2,1,1,20, , ,0,0,"NKRUMAH,PRES", ,1,3,64,",",1,.8
31,3,3,64,2,1,2,1,29,20, , ,0,0,"NKRUMAH,PRES","AMETEWEE,EX-POL",3,3,64,",",11,.1
32,5,2,48,1,1,2,1,5,24, , ,1,0,"LADES,MIN",COMM YOUTH,5,2,48,",",1,.2
32,1,25,49,2,1,2,1,5,22, , ,0,0,"KANALLOPOULOS,MIN",COMMUNISTS,1,25,49,",",16,.4
32,3,12,49,2,2,2,1,5,28, , ,0,0,"VAN FLEET,LT GEN",COMMUNISTS,3,12,49,",",4,.7
32,5,24,63,1,1,2,1,1,27, , ,1,1,"LAMBRAKIS,DEP",MOTORCYCLIST,5,24,63,",",3,.6
32,7,13,64,2,2,2,1,4,20, , ,0,0, PREMIER,RIGHT WING PLT, , , , , ,DD
33,7,19,49,1,1,2,1,1,28, , ,1,0,"ARANA,COL,C/S", ,7,19,49,",",1,.2
33,1,21,54,2,1,2,1,1,27, , ,0,1,"ARRIOLA,CONGRESS PRES", ,1,21,54,",",4,.7
33,7,20,57,1,1,2,1,5,20, , ,1,0,"CASTILLO ARMAS,PRES","SANCHEZ RV,COMM",7,28,57,",",1,.8
33,10,23,57,2,2,2,1,2,24, , ,0,0,"OLIVA,NAT SEC CHIEF",OPP LDRS,10,22,57,",",1,.6
33,1,25,62,1,1,2,1,1,29, , ,1,0,"GONZALES R,CHF SECRT POL", , , , , , ,DD
33,1,25,62,2,2,2,1,25,20, , ,0,0,"YDIGORAS,PRES",REVOL PTY, , , , , ,DD
33,1,26,62,1,1,2,1,5,29, , ,1,0,"ONELLE,POLICE CHF", ,1,26,62,",",5,.4
33,5,22,65,1,1,2,1,5,22, , ,1,0,"ARRIAGO,VICE MIN",COMM TERR,5,22,65,",",8,.2
33,11,1,65,1,1,2,1,1,23, , ,1,0,"MENDEZ MONTENEGRO,REV PT",Y,11,1,65,",",16,.4
33,5,5,66,1,1,2,1,2,24, , ,1,0,"MORALES B,PRESS SEC",TERRORISTS,5,5,66,",",39,.8
33,8,16,66,1,1,2,1,2,3, , ,1,0,"ORELLANO PORTILLO,ANTICM", ,8,21,66,",",10,.1
33,5,4,67,1,1,2,1,1,2, , ,1,0,"ALDANA RM,EX-GUER LDR", ,5,4,67,",",13,.1
34,7,7,48,1,1,2,1,1,24, , ,1,0, GOVT PRINT OFF DIR, ,7,7,48,",",4,.7
34,9,18,58,2,2,2,1,1,20, , ,0,0,"DUVALIER,PRES",EDELSON AM,9,18,58,",",11,.6
34,5,20,59,2,1,2,1,1,34, , ,0,0,"ESCHAZABAL,CUBAN AMB", ,5,3,59,",",20,.5
34,6,7,59,2,1,2,1,1,34, , ,0,0,"ESCHAZABAL,CUBAN AMB", ,6,7,59,",",28,.6
34,6,30,67,2,1,2,1,1,20, , ,0,0,"DUVALIER,PRES", ,6,30,67,",",18,.1
36,11,5,56,1,1,2,1,2,25, , ,1,0,"GERO,EX HEAD COMM PTY",REBELS,11,5,56,",",25,.1
38,1,21,48,2,1,2,1,1,3, , ,0,0,GHANDI, ,1,21,48,",",4,.3
38,1,31,48,1,1,2,1,1,3, , ,1,0,GHANDI,"GODSE,MOS.FAN.",1,31,48,",",1,.6
38,7,20,49,2,1,2,1,1,20, , ,0,0,"NEHRU,PM",BOMB PATH PLANE,7,20,49,",",13,.5
38,8,3,50,2,2,2,1,4,20, , ,0,0,"NEHRU,PM",HINDU EXTR PLOT,8,3,50,",",10,.6
38,5,5,53,2,1,2,1,1,20, , ,0,0,NEHRU,BOMB RR TRACK,5,5,53,",",6,.4
38,3,13,55,2,1,2,1,1,20, , ,0,0,"NEHRU,PM","KOCHALE B,KNIFE",3,13,55,",",1,.7
38,8,22,61,1,1,1,1,4,35,79,200,0,0,"AO I,CHRM OF NAGA STATE",NAGA TERRORIST,8,25,61,",",9,.1
38,2,7,65,1,1,2,1,1,22, , ,1,0,"KAIRON,EX-CHF MIN", ,2,7,65,",",9,.2
39,12,1,57,2,2,2,1,1,20, , ,0,0,"SUKARNO,PRES", ,12,1,57,",",1,.3
39,3,9,60,2,1,2,1,28,20, , ,0,0,"SUKARNO,PRES","MAUKAUR,LT",3,9,60,",",3,.6
39,1,8,62,2,1,1,1,2,20,111,200,0,0,SUKARNO,DUTCH PROF,1,8,62,",",4,.4
39,5,14,62,2,1,2,1,2,20, , ,0,0,SUKARNO,DARUL ISLAM,5,14,62,",",1,.6
39,5,29,65,2,2,2,1,1,20, , ,0,0,"SUKARNO,PRES","USA,UK,CHARGED",5,29,65,",",4,.1
40,2,14,48,1,1,2,1,1,44, , ,1,0,"MASOOD M,NEWSPAPER ED", ,2,14,48,",",5,.3
40,2,5,49,2,1,2,1,4,30, , ,0,1,"PAHLEVI MR,SHAH", ,2,5,49,",",1,.6
40,11,5,49,1,1,2,1,1,21, , ,1,0,"HAJIR,EX-PREMIER",IMMANI H,11,5,49,",",2,.5
40,5,28,50,1,1,2,1,1,44, , ,1,0,"DEHGHAN,EDITOR", ,5,28,50,",",20,.6
40,3,8,51,1,1,2,1,4,24, , ,1,0,"RAZMARA,PREMIER",RASTEGAR AM,3,8,51,",",1,.6
40,3,26,51,1,1,2,1,4,24, , ,1,0,"ZANGANEH,EX-EDUC MIN","GHOMI,FADAYAM I",3,26,51,",",8,.6
40,3,26,51,2,2,2,1,4,28, , ,0,0,"HEJAZI,TEHERAN MIL GOV",FADAYAM ISLAM,3,27,51,",",1,.2
40,3,28,51,2,2,2,1,4,30, , ,0,0,  SHAH,FADAYAM ISLAM,3,28,51,",",6,.5
40,2,15,52,2,1,2,1,1,22, , ,0,1,FATEMI H,MOSLEM FANATIC,2,15,52,",",1,.5
40,2,16,52,2,1,2,1,1,22, , ,0,1,"FATEMI,DEP PREMIER",FADAYAM ISLAM,2,16,52,",",1,.5
40,3,2,53,2,2,2,1,1,20, , ,0,0,MOSSADEGH, ,3,2,53,",",1,.8
40,4,7,53,2,2,2,1,31,20, , ,0,0,MOSSADEGH,ROYAL FAMILY,4,7,53,",",1,.7
40,4,27,53,1,1,2,1,1,29, , ,1,0,"AFSHARTOUS,POLICE CHF",STRANGLED,4,27,53,",",1,.5
40,3,14,54,2,1,2,1,1,22, , ,0,1,"FATEM H,FOREIGN MIN", ,3,14,54,",",1,.2
40,9,11,54,2,2,2,1,5,30, , ,0,0, SHAH AND GOV OFFICIALS,COMM ORG,9,11,54,",",1,.3
40,11,17,55,2,1,2,1,50,20, , ,0,1,"ALA,PREMIER",MOSLEM FANATIC,11,18,55,",",1,.3
40,11,14,62,1,1,2,3,13,24, , ,1,0, CHF LAND REFORM, , , , , , ,DD
40,1,22,65,1,1,2,1,1,22, , ,1,0,"MANSOUR,PREMIER",BOKHARAII M,1,22,65,",",6,.3
40,4,12,65,2,1,2,1,10,30, , ,0,0, SHAH,SUB-MACHINE GUN,4,12,65,",",10,.5
41,3,24,54,2,1,2,1,1,30, , ,0,0,"FEISAL,KING", ,3,24,54,",",3,.6
41,10,8,59,2,1,2,1,1,20, , ,0,1,KASSIM, ,10,8,59,",",1,.2
41,10,14,59,2,2,2,1,1,20, , ,0,0,KASSIM, ,10,16,59,",",1,.1
